,Utterance,Label
204,"You've become mad, doll.",humor
205,Why?,non-humor
206,Not sweet. You mean sour.,non-humor
207,Sour,non-humor
208,Or Koki ji says,non-humor
209,"In such a situation, my heart desires to eat something sour.",non-humor
210,You take a lot of guidance from Koki ji nowadays,humor
211,It's not like that baby Doll. Let's not fight.,non-humor
212,I have brought a surprise for you.,non-humor
213,Tada!,non-humor
214,Special for you. Tamarind!,humor
215,So much?,non-humor
216,"What, deposited the stock of the coming children in one got too?",humor
217,"Take, na!",humor
218,I just need two.,non-humor
219,"Take, na!",humor
220,"And yes, if you feel like eating something sweet",non-humor
221,Come on,non-humor
222,I will not give onion.,humor
223,Dilruba special for you.,non-humor
224,Tada!,non-humor
225,"Laddoos, made from native ghee",non-humor
226,"Wow, I want two of these too.",humor
227,Two of these too?,non-humor
228,"You want two of everything, doll.",non-humor
229,In case Ram and Shyam are not coming?,humor
230,Doll!,non-humor
231,"What are you doing, doll?",non-humor
232,You have to take small steps.,non-humor
233,Why?,non-humor
234,You have to take every step with absolute gusto.,humor
235,Why do you keep forgetting that you are going to be a mother?,non-humor
236,"Oh, will you speak quietly.Do you want to tell the whole world?",non-humor
237,So let the whole world hear!,non-humor
238,That you are going to be the mother of my child.,humor
239,They will know anyway.,non-humor
240,There is no need to shout.,non-humor
241,OK OK Doll. We do not quarrel.,non-humor
242,You know if we continue to fight,non-humor
243,Our child will also born absolutely quarrelsome.,humor
244,Shh. Keshu ji.,non-humor
245,Every time the thing I try to avoid,non-humor
246,It comes right in front.,humor
247,Shh!,non-humor
248,Good Morning Keshu ji.,non-humor
249,What a coincidence!,humor
250,Good morning Prema ji.,non-humor
251,Sorry I can not go on jogging with you now.,non-humor
252,Why?,non-humor
253,Because he,non-humor
254,Prema ji your child is going to be born in reverse,humor
255,"What Do You Mean, Reverse",non-humor
256,How dare you? Talking any rubbish about my child.,humor
257,Sorry.,non-humor
258,I am very emotional about my child,non-humor
259,I'm Very possessive.,non-humor
260,Sorry sorry,non-humor
261,"Doll, let's go from here.",non-humor
262,Yes.,non-humor
263,You also go.,non-humor
264,Why?,non-humor
265,Because we have to gossip about you. Go,humor
266,Bye.,non-humor
267,Bye.,non-humor
268,Prema ji ..,non-humor
269,Till yesterday your stomach was so,non-humor
270,Today,non-humor
271,Oh wat you go go go,humor
272,Go Go Go. Shh!,humor
273,"Doll, from tomorrow",non-humor
274,We'll take our morning walk in the evening.,humor
275,What?,non-humor
276,"I mean, we'll walk somewhere else.",non-humor
277,Why?,non-humor
278,Thing is koki ji was saying that during the pregnancy,non-humor
279,Whoever's faces we see often…,non-humor
280,The child's face will be just like that.,non-humor
281,And I do not want our child to look like Keshu ji.,humor
282,Yes.,non-humor
283,Unattractive. Nonsense. Irritating Person,humor
284,Should we go?,non-humor
285,Yeah.,non-humor
286,It's good he went.,non-humor
287,"Doll, doll!",non-humor
288,You call such a handsome man ugly?,humor
289,Stomach disappeared.,humor
290,Baby also disappeared!,humor
291,Does she keep it out while exercising?,humor
292,We'll have to see.,humor
293,We'll have to investigate,humor
294,Toto I'm fed up of pretending to be a mother.,non-humor
295,"And worst of all, then I feel for the heart.",non-humor
296,Do you know how much he is waiting for me to become a mother?,non-humor
297,That is visible.,humor
298,"And when he will find out about the reality, then?",non-humor
299,Hey then you will see.,non-humor
300,That producer Ram Ji is about to come.,non-humor
301,You quickly become a mother,humor
302,Quickly!,non-humor
303,Aye.,humor
304,"Move, move!",humor
305,"You, you.",humor
306,And that.,non-humor
307,"Not that, that. Stop.",humor
308,Hey someone.,humor
309,I want to meet Prema ji,non-humor
310,Why?,non-humor
311,Her stomach has disappeared,humor
312,Ah?,non-humor
313,"Yes, sometimes this much, sometimes that much - and now nothing.",humor
314,I think the power of your spectacles has changed ..,non-humor
315,Oof what power?,humor
316,I have seen my stomach disappeared from my eyes,non-humor
317,"Hey that must be your dream, stupid",non-humor
318,Hey what dream Stupid,humor
319,Prema ji,non-humor
320,Hi keshu ji,humor
321,Did you see did you see?,non-humor
322,"If this is not a stomach is it a balloon, Stupid",humor
323,What happened to Keshu,non-humor
324,Prema ji your stomach is somethimes there.,non-humor
325,Sometimes this much sometimes that much sometimes never there.,humor
326,"Oh God, what's game are your playing with my emotions",humor
327,Greetings Prema Shalini,humor
328,"Hey sir, sir ji",non-humor
329,Sir ji come this way sir this way,humor
330,"Move, move!",humor
331,"Sit sir, sit sir.",humor
332,I am sitting.,non-humor
333,Sir should I get water or anything?,humor
334,Well okay.,non-humor
335,"Ramji Bhai, you here at this time?",humor
336,The thing is Ms. Shalini I have come to have a very important talk with you.,non-humor
337,"Yes yes, speak.",humor
338,Shalini ji I have been seeing that you have not been well for many days.,non-humor
339,Meaning you are not able to work properly.,non-humor
340,Am I right?,non-humor
341, it is so.,non-humor
342,Yes just that. that's the point.,non-humor
343,We are thinking that we take a second heroine in your place to complete the picture and release it.,humor
344,Very Simple,non-humor
345,"See no, toto",non-humor
346,Such a good film and such a good role is going from my hand.,humor
347,"This is why I was saying that do not become a mother, do not become a mother, do not become a mother.",humor
348,"Ramji Bhai Do not do that, please.",non-humor
349,"You just wait one, two, three, four, five, six, six months more.",humor
350,Only Six Months?,humor
351,Six months!,non-humor
352,Hey you talk about six months?,non-humor
353,"In these six months, we will make our picture and release it too.",non-humor
354,Prema Shalini ji Do not worry. Do not take tension,non-humor
355,We launch you in the next picture.,non-humor
356,"And will keep the name of the picture ""Mother and son""",humor
357,Till then I am going.Take care of yourself.,non-humor
358,Goodbye.Bye,non-humor
359,Just think about this once again. Think once again.,humor
360,I am going.,humor
361,bye Bye,non-humor
362,Yes.,non-humor
363,Yippee!,non-humor
364,We have won!,humor
369,Doll What are you doing Doll,non-humor
370,What are you doing? you are going to be a mother doll.,non-humor
371,Dil now I will be neither a mother nor a mummy,humor
372,Congratulations sir! You have a baby helmet.,humor
373,You shut up.,non-humor
374,Helmet!,humor
375,Doll you know.,humor
376,"I thought that if we had a boy, I would keep his pet name helmet.",humor
377,Why did you do this doll? Why did you do this?,non-humor
378,"To make a fool of Ramji bhai, the producer.",non-humor
379,But you also fooled me doll.,non-humor
380,Sorry Dil.,non-humor
381,Sorry.,non-humor
382,Dil sorry ..,non-humor
383,Sorry,humor
384,"Sorry, na.",non-humor
385,OK Doll,non-humor
386,"Who gave you this helmet Idea, Doll",non-humor
387,"Toto did,",non-humor
388,How did you like this?,humor
389,One minute doll.,non-humor
390,How was that? How was the Idea?,non-humor
391,The helmet idea was yours?,non-humor
392,Yeah.,humor
393,Toto I will hit you so much with this helmet you will become an omelet.,humor
394,"Prema ji, prema ji!",humor
395,"Congratulations, congratulations!",humor
396,Congratulations for what?,non-humor
397,You cancelled the program of becoming a mother.,non-humor
398,Congratulations for that. Lots of congratulations!,humor
399,Oh.,non-humor
400,But why are you so happy with this>,non-humor
401,Why not?,non-humor
402,"If you cancel the program of becoming a mother,  then only all my programs will start again.",humor
403,This Keshu!,non-humor
404,Dil ..,non-humor
405,This Keshu is bursting crackers.,non-humor
406,In the joy of my not becoming a father,non-humor
407,Dil ..,non-humor
408,"Dil, Dil, I'm sorry. listen to me at least.",non-humor
409,Keshu What are you doing>,non-humor
410,There Prema Shalini is going to be a mother,non-humor
411,Why are you making so much noise?,non-humor
412,"Ay what mother, what noise?",humor
413,"That Prema ji was putting up an act, an act.",humor
414,What?,non-humor
415,"Yes, Yes.",non-humor
416,"Stop Keshu Keshu, let's go inside.",non-humor
417,Last. Last. Last,non-humor
418,Leave it!,non-humor
419,Keshu leave it. Let it go.,non-humor
420,What is this drama you guys are doing>,non-humor
421,Keep that down. Let's go inside,non-humor
422,Keshu let's go inside,humor
423,Dil it was something like this.,non-humor
424,For so many days I was knitting a sweater for him.,humor
425,Who will now wear the sweaters,non-humor
426,They will not fit us will they,humor
427,I'm sorry Dil! I will never do such a thing again. I am sorry,non-humor
428,I know that.,non-humor
429,I was screaming shouting it in front of the world.,non-humor
430,Hey people of the world! Dilruba is going to become a father.,non-humor
431,And tell me one thing,non-humor
432,"When I used to sleep at night, the child's voice would come to my ears.",non-humor
433,Papa! Daddy! Dad! Father!,humor
434,"And I would say sleep, my dear, go to sleep.",non-humor
435,I will play with you tomorrow morning.,non-humor
436,"Now who will I play with in the morning, doll?",non-humor
437,Who will I play with…,non-humor
438,Stop it Dil. Stop it.,non-humor
439,"listening to your words, something is happening to me.",non-humor
440,What nonsense are you speaking?,non-humor
441,Yes.,non-humor
442,Really.,non-humor
443,Something is really happening to me.,non-humor
444,"I'm not acting! Heat is also coming, Dil.",non-humor
445,Oh my! Hey!,non-humor
446,Hey people of the world!,humor
447,"I am going to become a father again, people of the world!",humor
448,Who?,non-humor
449,Who is there?,humor
450,There was an attack at peace residence,humor
451,What?,non-humor
452,Keshav is bursting crackers.,non-humor
453,Yes,non-humor
454,Which idiot is bursting crackers so late at night?,non-humor
455,"Papa, Papa, Dilbura uncle is bursting crackers.",non-humor
456,Why?,non-humor
457,Because he is really going to be a father,non-humor
458,What?,humor
459,Oh wow!,humor
460,People of the world! I am going to become a father again,non-humor
461,Come!,humor
462,Koki! Koki!,non-humor
463,Koki hurry! It is time for the train.,non-humor
464,"Coming, Pinki.",non-humor
465,Wait a bit! I can hear Keshu.,non-humor
466,Keshu?,non-humor
467,Oh stop it's enough.,humor
468,How much will you peep?,humor
469,One day you'll fall down from the balcony.,humor
470,Excuse me.,non-humor
471,Oh it is time for our train. We are about to leave.,non-humor
472,"Coming, Koki",non-humor
473,Came!,non-humor
474,"Oof, what was the need to go so early to the pilgrimage, Koki?",non-humor
475,"In my old age, I would've taken you myself.",humor
476,I will come next year with you.,humor
477,"Why, are you going to be old next year?",non-humor
478,I was talking about you.,humor
479,Pinky aunty!,humor
480,Oi!,non-humor
481,"I mean, Pinki ji, where are you going anyway?",non-humor
482,We are going to the Himalayas's snowy peak.,non-humor
483,To jump from it.,humor
484,Hey Keshu!,non-humor
485,Shiva's temple is there.,non-humor
486,Om Namah Shiva,non-humor
487,Koki!,non-humor
488,Yes.,non-humor
489,What will you ask for me from Shiva?,humor
490,A little wit.,humor
491,Pinki!,non-humor
492,"Koki, come, please!",non-humor
493,its getting late.,humor
494,Let's go now,non-humor
495,Let's go let's go let's go.,non-humor
496,Pinky ji,non-humor
497,"Take care of everyone, okay?",non-humor
498,Yes. Will take care.,non-humor
499,And anyway there is my niece too.,non-humor
500,She came from the village just yesterday.,non-humor
501,"Together the both of us will take care of both of the koki and Chintu, okay?",non-humor
502,"Chintu, son come quickly! You too, walk fast!",non-humor
503,Bye papa.,non-humor
504,Bye son.,non-humor
505,Take care of yourself and of mom too.,non-humor
506,"Go, go.",non-humor
507,"Let's go, let's go, let's go, let's go.",non-humor
508,"Let's go, let's go, let's go.",non-humor
509,"You'll take care of the neighbors, that goes without saying.",humor
510,Take care of yourself too.,humor
511,You too.,non-humor
512,Hmmm.,non-humor
513,hey cucumber!,humor
514,What?,humor
515,My chakuli!,humor
516,"Oh, move.",non-humor
517,come fast,non-humor
518,Why?,non-humor
519,You now that without you I cannot live.,humor
520,Are you telling the truth?,non-humor
521,Honest.,humor
522,Well then. I will not go.,non-humor
523,"What, are you nuts?",humor
524,"While going, do not talk such such things.",humor
525,Hey there is a little time.,non-humor
526,"It will pass just like that! Go, go!",non-humor
527,Good. I'll go.,non-humor
528,Koki ji!,non-humor
529,"Koki ji, Where are you going?",non-humor
530,I saw. He has not been upset.,humor
531,Keshu,non-humor
532,I am going on pilgrimage.,non-humor
533,Oh my god!,humor
534,When will you come back?,non-humor
535,maybe never.,humor
536,Oh no!,humor
537,"While going, please give your address!",non-humor
538,"Why, will you come there?",non-humor
539,Yeah.,non-humor
540,I am going to heaven.,non-humor
541,I'll come.,non-humor
542,Yeah.,non-humor
543,oh man! Tell him that heaven is not a kitchen.,non-humor
544,They will not get entry.,humor
545,Keshu!,non-humor
546,"Listen, remember me! I am leaving.",non-humor
547,I will not remember you.,non-humor
548,"See, he's giving my answer for me too.",non-humor
549,I'll going now.,non-humor
550,Bye Keshu.,non-humor
551,Bye Koki ji!,humor
552,Bye Keshu.,humor
553,Bye Koki ji,humor
560,Bye bye.,humor
561,Hey brother stop it. Bye Bye.,humor
562,It will soon be time to come back,humor
563,If you say so much bye bye.,non-humor
564,"Come come, let's get out.",non-humor
565,Yes it is OK.,non-humor
566,Hey one minute! one minute! One minute!,non-humor
567,Diluruba ji practice the religion of being a neighbour.,non-humor
568,Lift the bag.,non-humor
569,Oh no that is not needed. I will lift it.,non-humor
570,"No No It's My Pleasure, Koki ji.",non-humor
571,This little bit I can do myself.,non-humor
572,oh man! oh man!,humor
573,It's his pleasure.,humor
574,Dilruba ji should I lift it?,non-humor
575,It's My pleasure.,humor
576,oh man! Let's go!,non-humor
577,oh man!,non-humor
578,Oh why are you walking?,non-humor
579,"Hey Diliruba ji you are okay, no?",non-humor
580,oh man! Bye Keshu,non-humor
581,It seems that he will fall.,non-humor
582,Mummy!,humor
583,The fall man fell.,humor
584,Oh gokhale man!,non-humor
585,Yes Maria Woman?,humor
586,Tell me one thing.,non-humor
587,Why is this kulkarni so happy nowadays?,non-humor
588,Because his wife has gone out of the village..,humor
589,Oh gokhale!,non-humor
590,What's the matter Pandey ji?,non-humor
591,tell me one thing.,non-humor
592,"when the wife goes out to the village, why do these men become so happy?",humor
593,You do wonders Pandey ji! tell us one thing.,non-humor
594,"When you go to your mothers,  why are you so happy?",non-humor
595,"Hey, I feel like I have got freed from a jail.",humor
596,So we men also feel like we have got free of the jailer.,humor
597,Prema ji why are you so beautiful?,humor
598,Home Sweet Home,humor
599,Hello!,non-humor
600,"Keshu Pa ji, Pinki is speaking.",non-humor
601,Hello pinky aunty!,humor
602,Come.,non-humor
603,Yes. Pinky ji.,non-humor
604,Was the top of the Himalayas so small that you came back so fast?,non-humor
605,Keshu Pa ji this is not time for a joke.,non-humor
606,Our Koki,non-humor
607,"What, is Koki stuck on the top of the Himalayas?",humor
608,Our Kaki - ,non-humor
609,Now she will not come back.,non-humor
610,"Very good, very good",humor
611,Father?,non-humor
612,Chintu?,non-humor
613,Mummy will never come back now.,humor
614,What?,non-humor
615,Your mother has gone and left me alone.,humor
616,Chintu son come here.,non-humor
617,Hey move! Stay away from me.,non-humor
618,Why are you crying on me?,humor
619,"Your father is coming, cry on him",humor
620,Chintu!,non-humor
621,Father!,non-humor
622,Father!,humor
623,"Hey, hey.",non-humor
624,stay away from me,non-humor
625,"Hey, this way I will die too.",non-humor
626,"And what are you doing, papa papa?",humor
627,I am your father,non-humor
628,Hey why are you crying?,non-humor
629,"Has your wife gone, or mine?",non-humor
630,What?,non-humor
631,Then?,non-humor
632,Quiet! Quiet quiet quiet!,non-humor
633,Completely quiet!,humor
634,Pinky aunty?,humor
635,"Quiet, quiet.",non-humor
636,Pinky ji pinki ji,non-humor
637,Pinky ji look I do not like such a joke.,humor
638,Hey Koki can't even go anywhere by leaving me.,non-humor
639,She must be hidden somewhere here. Naughty.,non-humor
640,Now I'll call and she'll come out.,non-humor
641,Look.,non-humor
642,"Koki, come out, Koki!",humor
643,I do not like such a crappy joke.,humor
644,Look Koki I will never eat your hand's poha after today.,humor
645,"Look Koki an order of diamonds has come for you, I'll cancel them!",humor
646,"Pinky, this Koki did not come even even after hearing about the diamonds!",non-humor
647,You mean it is confirmed?,humor
648,Yes Keshu Pa ji,non-humor
649,Our Koki has gone and left us!,non-humor
650,Hey shut up!,humor
651,Shut up.,humor
652,"But Pinki, how did all this happen?",non-humor
653,"Keshu Pa ji, we has gone roaming to the snowy peaks.",non-humor
654,So Koki went to look down and,non-humor
655,A bird came from behind and pushed her.,non-humor
656,And she fell down.,non-humor
657,Silent!,non-humor
658,But but... Koki's corpse?,non-humor
659,"We searched a lot, keshu pa ji.",non-humor
660,Made a complaint with the police too.,non-humor
661,Police also looked everywhere.,non-humor
662,Koki was not found anywhere.,non-humor
663,Pinky aunty!,humor
664,Pinki ji actually animals must have taken koki ji's corpse as a sweet dish and chewed it.,non-humor
665,Oh shut up!,non-humor
666,Has my wife gone or yours?,humor
667,Keshu ji!,non-humor
668,Prema ji!,humor
669,What happened?,humor
670,"Prema ji, Prema ji, Prema ji, koki has gone and left me!",humor
671,Prema ji,humor
672,Prema ji look at that ..,humor
673,Where will I bring another koki for my beloved Chintu?,humor
674,Prema ji,humor
675,Prema ji,non-humor
676,Excuse me!,humor
677,Your wife has died.,non-humor
678,So why are you crying by wrapping around my wife?,humor
679,Cry by wrapping around me!,humor
680,Move!,humor
681,Prema ji!,humor
682,I've become a widower Prema ji!,humor
683,Kokila ..,humor
684,Kokila ..,humor
685,"Papa, grumbling aunty is coming!",non-humor
686,"Son, where has your mother gone?",non-humor
687,Keshu Pa ji!,non-humor
688,Pinky aunty!,humor
689,What?,non-humor
690,Pinki?,non-humor
691,My Kokila has gone and left me!,humor
692,I have lost everything!,non-humor
693,Pinky do you know what Kokila said to me once?,non-humor
694,Aye Keshu!,non-humor
695,"Speak, Koki!",non-humor
696,"If I died tomorrow, you will not be mad?",non-humor
697,Remember?,non-humor
698,Yes Keshu Pa ji I remember very well.,humor
699,And I also remember what you answered.,non-humor
700,"Crazy, Pinky!",humor
701,Why am I not?,humor
702,"Why do not I get mad, Pinki?",humor
703,Keshu Pa! Calm down ..Please calm down ..,non-humor
704,I cannot live!,non-humor
705,I could not live!,humor
706,Keshu Pa ji ! Calm down.,non-humor
707,"Look, this is my niece.",non-humor
708,She will remain for a few days.,humor
709,I mean to take care of Chintu.,non-humor
710,She will also make food for you.,non-humor
711,What is her name?,non-humor
712,Gauri tell your name.,humor
713,I am ashamed,humor
714,Why are you ashamed of telling your name?,non-humor
715,"Tell your name, Gauri!",humor
716,"I told you, I'm feeling ashamed.",humor
717,Is she married?,non-humor
718,I am a virgin.,humor
719,She is a virgin.,non-humor
720,Then what is the problem in showing your face?,non-humor
721,"In our tradition, we don't show our face before marriage.",humor
722,"Pinki, I do not want a maid.",non-humor
723,"I do not want a maid, pinky!",non-humor
724,Keshu Pa ji she is not a servant.,non-humor
725,She will understand this as her home and stay here.,non-humor
726,Is that so?,humor
727,Yes.,non-humor
728,Well the thing is that during the travel..,non-humor
729,Chintu has become used to her.,non-humor
730,And he used to stay in her lap.,humor
731,"She takes him in her lap, son.",humor
732,Yes Papa. And Mummy had said..,non-humor
733,If something happened to her -,non-humor
734,then take her as your mother.,non-humor
735,Mummy had said this to you?,non-humor
736,I got here,humor
737,"Understand, son, understand ..",non-humor
738,enough,non-humor
739,What is happening to the heart of poor Keshav!,non-humor
740,So Sad,non-humor
741,"Pandey, son…",non-humor
742,Enough.,humor
743,"Pandey ji, I've heard that Kulkarni ji's wife was very good in nature.",non-humor
744,Gokhale!,non-humor
745,Yes sir,non-humor
746,Today is payday.,non-humor
747,"Yet so much silence in the office. Why is it so, brother?",humor
748,"What do I tell you, sir…",non-humor
749,Your Kulkarni's wife,non-humor
750,Has come to the fourth floor.,humor
751,Sir,non-humor
752,Oh!,non-humor
753,"Calm, calm, calm down!",non-humor
754,You too calm down.,non-humor
755,Be cool.,non-humor
756,"And look, there is this heavy crying in the office only when…",non-humor
757,when someone's lost their job.,humor
758,And Gokhale.,non-humor
759,Yes sir,non-humor
760,"Today evening, on behalf of all office staff, we will go to wish Kolkarni.",humor
761,You?,non-humor
762,Oho!,humor
763,"Sir, I mean we cannot wish at such a time.",humor
764,So?,non-humor
765,We'll go to meet him.,non-humor
766,"Ok, we'll go to meet him.",non-humor
767,Ma - mayankar ..,non-humor
768,Mayankar..,non-humor
769,Hey Mayankar.,non-humor
770,No one cries so much when his wife leaves!,humor
771,So why are you crying when somebody else's wife goes?,humor
772,Enough enough enough.,non-humor
773,Calm down.,non-humor
774,"Quiet, mayankar.",non-humor
775,"Come, come sir. Come.",non-humor
776,Yes?,non-humor
777,G-G-Gokhale,non-humor
778,What I'm saying is… Prema ji also lives here.,non-humor
779,"So first let's go there, no.",humor
780,"No, she will also be sad, no.",humor
781,"What are you talking about, sir.",non-humor
782,Why did I say something wrong?,non-humor
783,"All wrong, sir.",non-humor
784,"The thing is, gokhale",non-humor
785,I've never gone on such an occasion.,non-humor
786,This is a first experience.,non-humor
787,This is also a first experience for Kulkarni.,non-humor
788,Who knows…,humor
789,"Gokhale, what I'm thinking is…",non-humor
790,It does not look good to go to someone's house empty-handed.,non-humor
791,So let's go with a bouquet.,humor
792,You…,humor
793,Aye!,non-humor
794,"Sir, i mean",non-humor
795,People do not take a bouquet on such occasions.,non-humor
796,So?,non-humor
797,"Make you mood, sad, sadness.",humor
798,sad.,humor
799,"Let's go, sir.",non-humor
800,"What can we do, Kulkarni.",non-humor
801,Life and death are in the hands of the above.,non-humor
802,Kulkarni.,non-humor
803,Whatever happened was very bad.,non-humor
804,"Well, Mrs. Kulkarni was a very good woman.",non-humor
805,"Is rhat not, gokhale?",non-humor
806,"Right, Sir.",non-humor
