,index,Utterance,Label,translated
71,72,मतलब माँ बनने वाली है।,non-humor,It means to be a mother.
72,73,स्टूपिड,non-humor,Stupid
73,74,प्रेमा जी को बुलाओ।,non-humor,Call Prema G.
74,75,प्रेमा जी अंदर सो रही हैं।,non-humor,Prema ji is sleeping inside.
75,76,बाद में आओ।,non-humor,Come later.
76,77,क्या कर रहे हो।,humor,What are you doing.
77,78,मैं जा रहा हूँ,humor,I am going
78,79,प्रेमा जी। प्रेमा जी,humor,Prema jiPrema ji
79,80,हैलो केशू जी,non-humor,Hello Keshu ji
80,81,हैलो प्रेमा जी ।।,humor,Hello Prema ji ..
81,82,प्रेमा जी दिलरुबा जी ने बताया कि आप माँ बनने वाली हैं।,humor,Prema ji Diliruba ji said that you are going to be a mother.
82,83,तो मैंने सोचा चल के बधाई दे दूं।,non-humor,So I thought congratulations.
83,84,हाँ थैंक्यू,non-humor,Yes third
84,85,मेंशन नॉट  मेंशन नॉट,humor,Mention Not Mounted Not
85,86,लगता है दिलरुबा जी को देर से पता चला नही,humor,Looks like Dilruba ji did not know late
86,87,क्या,non-humor,What
87,88,एनी वेज़ कॉगरेचूलेशन्स।,non-humor,Annie Vege Cognectures
88,89,थैंक्यू,non-humor,Thanks
89,90,इन्हें क्या हुआ,non-humor,What happened to them
90,91,वैसे तो फस्ट टेक ओके हो गया,non-humor,"By the way, the Fast Tech OK"
91,92,पर प्रॉबलम ये है कि  क्लाइमेक्स का शॉट पहले हो गया।।,humor,But the Provider is that Climax's shot was first.
92,94,क्या से क्या हो गया गोखले ।।,humor,What happened to the Gokhale ..
93,95,कल कुछ भी नहीं था,humor,There was nothing tomorrow
94,96,और आज ,humor,and today
95,97,कुलकर्णी।,non-humor,Kulkarni.
96,98,औरतों का यही होता है।,non-humor,This is the same.
97,99,देखते देखते मां बन जाती हैं,non-humor,See watching mother
98,100,और हम देखते ही रह जाते हैं।,humor,And we keep watching.
99,101,मुझे तो औरतों से विश्वीस उठ गया है गोखले।,humor,I have woke up from women. Gokhale
100,102,मैं तुम्हारा दर्द समझ सकता हूं कुलकर्णी।,non-humor,I can understand your pain Kulkarni.
101,103,यू नो गोखले,non-humor,U no gokhale
102,104,वॉट कुलकर्णी,non-humor,Wat Kulkarni
103,105,मुझे सारी औरते होने वाली माँ नजर आ रही हैं।,humor,I see all the other mothers.
104,106,देखो गोखले देखो,humor,Watch Gokhale look
105,107,सारी औरतें होने वाली माँ नजर आ रही हैं।,humor,The mother who has all the women is being seen.
106,108,कुलकर्णी  लगता है तुझे बहुत बड़ा सदमा लगा है मेरे दोस्त।,non-humor,Kulkarni seems to be your big shock.
107,109,देख ,non-humor,See
108,110,कुलकर्णी तेरा सिर फिर गया।,non-humor,Kulkarni your head again
109,111,यू आर राइट गोखले।,humor,U R Wright Gokhala
110,113,कोकी जी।,humor,Koki ji
111,114,अरे दिलरुबा जी आइए।,non-humor,Hey Diliruba ji
112,115,आ मैंने बैठने के लिए नहीं कहा।,humor,I did not say to sit.
113,116,ओह सॉरी।,non-humor,Oh sorry
114,117,बैठिए कैसे आना हुआ,humor,How to come
115,118,एकदम दड़ाम से।,humor,Above
116,119,आ,non-humor,Come
117,120,मेरा मतलब आराम से।,non-humor,I mean comfortably
118,121,कुछ काम था,non-humor,have some work
119,122,दरअसल बात ये है कि मुझे आपकी सलाह  चाहिए थी।,non-humor,Actually the thing is that I had your advice.
120,123,स्वेटर बुनने में,humor,Sweater
121,124,वो तो चाहिए ही,non-humor,He should
122,125,वो क्या है कि प्रेगनेन्सी में हमें क्या क्या सावधानी बरतनी चाहिए उसके बारे में।,non-humor,What is it that what should be cautioned in the pretty?
123,126,अरे बाबा ये सब मैं नहीं जाननती।,non-humor,Hey Baba I do not know all this.
124,127,एक काम करो।,non-humor,do one thing.
125,128,क्या क्या,humor,What is
126,129,सबसे पहले शांत रहो।,humor,Stay calm first.
127,130,उसके बाद डॉक्टर से सलाह से मुझसे नहीं।,non-humor,After that the doctor does not give me advice.
128,131,डॉक्टर से नहीं। मुझे आपकी जरुरत है।,humor,Not with the doctorI need you.
129,132,क्या,non-humor,What
130,133,मतलब आपके ऐडवाइस की जरुरत है।,non-humor,Meaning your device needs.
131,134,यू ऐक्सपीरिएन्स्ड नो।,non-humor,U xpiring no.
132,135,तीसरे महीने में क्या क्या सावधानियां बरतनी चाहिए,non-humor,What precautions should be taken in the third month
133,136,उसे भी और मुझे भी।,humor,He too and me too.
134,138,बहुत इम्पॉर्टेंट सीन है प्रेमा जी।,non-humor,Very emptent scene is Prema ji
135,139,बहुत इम्पॉर्टेंट सीन ,non-humor,Very emptent scene
136,140,अरे ऐ डायरेक्टर,non-humor,Hey Ai Director
137,141,ई का हो रहा है ई का हो रहा है,non-humor,E is going to be e
138,142,तुम बुरबक आदमी है का अबे नौ बजे के शिफ्ट में।,non-humor,You are a burubak man in shift at 9 o'clock.
139,143,1130 बज रहा हैं तुम रोल नहीं किया है,non-humor,1130 ringing you have not rolled
140,144,अरे जल्दी से हांथ लगा,non-humor,Hey quickly
141,145, सॉरी सर सॉरी।,non-humor,Sorry sir sorry
142,146,चिंता मत कर।,non-humor,Do not worry.
143,147,चलो रेडी रोल साउंड,non-humor,Let's red roll sound
144,148,रोल कैमरा ऐक्शन,non-humor,Roll camera action
145,149,ऐ बहू,non-humor,Ai daughter-in-law
146,150,जी माँ जी,non-humor,G mother
147,151,ये बाल्टी रखी है बाथरूम में जा के रख के आओ।,non-humor,These buckets are kept in the bathroom.
148,152,और उनके नहाने का समय हो गया है।,non-humor,And their time has been done.
149,153,माँ जी मैं ऐसी हालत में ।।,humor,Mother I in such a situation ..
150,154,क्यों क्या है ऐसी हालत में हां,non-humor,Why is it in such a condition
151,155,एक बाल्टी उठा लेगी तो मर नहीं जाएगी।,non-humor,If you pick a bucket then you will not die.
152,156,प्रेमा जी से पानी से भरी बाल्टी उठवा रहे हैं,non-humor,Prema ji is getting a bucket full of water
153,157,इस हालात में,non-humor,In this situation
154,158,खड़ूस कहीं के,humor,Squeezed somewhere
155,159,प्रेमा जी  प्रेमा जी मैं आ रहा हूं। प्रेमा जी,humor,Prema ji Prema ji I am coming.Prema ji
156,160,प्रेमा जी प्रेमा जी ।।,humor,Prema ji Prema ji ..
157,161,प्रेमा जी  मैं आ गया प्रेमा जी।,humor,Prema ji I came to Prema ji
158,162,ऐ कट इट कट इट,non-humor,A cut it cut it
159,163,अरे यार तुम फिर बीच में आ गए।,non-humor,Hey man you came again in the middle.
160,164,पूरी शूटिंग का गुड़गोबर कर दिया तुमने,non-humor,You made the whole shooting
161,165,तुम डायरेक्टर हो या शैतान,humor,You are director or devil
162,166,एक प्रेगनेन्ट लेडी से पानी से भरी हुई बाल्टी उठवा रहे हो,non-humor,A Pregnant Lady is getting a bucket loaded with water
163,167,अरे स्टूपिड ये शूटिंग है।  नकली है सब।,non-humor,Hey Stupid This is Shooting.All is fake
164,168,अरे स्टूपिड बाल्टी और  पानी तो असली है ना,humor,Hey stupid bucket and water is not real
165,169,ऐ ऐ,non-humor,Aye Aye
166,170,अरे कौन है रे तू कौन है तू,non-humor,"Hey, who are you"
167,171,और ई सब का चल रहा है आं,non-humor,And e is running all
168,172,पहले आप ये बताएं आप कौन बा।,humor,First you tell me who you
169,173,क्या,humor,What
170,174,तुम हमसे पूछ रहा है हमरा सेट पे,non-humor,You are asking us to set
171,175,कि हम कौन हूं,humor,Who am we
172,176,अरे हम इस पिक्चर का निर्माता हूँ,non-humor,Hey we are the manufacturer of this picture
173,177,जन्मदाता हूँ। प्रोड्यशर प्रोड्यशर,non-humor,I am the birth anniversary.Producer producer
174,178,सॉरी। सॉरी निर्माता जी।,humor,Sorry.Sorry maker
175,179,अच्छा ठीक है ठीक है। भइया जी,non-humor,Well okay right.brother
176,180,अच्छा आप ई बताइए कि आप शॉट के बीच में काहें घुस गए थे।,non-humor,Well you tell me that you entered the middle of the shot.
177,181,निर्माता जी ये ये प्रेमा जी माँ बनने वाली हैं।,humor,Manufacturers are going to be a mother.
178,182,इतनी भारी भरकम पानी से भरी बाल्टी उठा रहीं हैं,non-humor,Such a bucket with such a huge water
179,183,हमने सोचा मदद कर लें।,non-humor,We thought help.
180,184,अरे महराज आप समझते काहे नहीं,non-humor,Hey Maharaj you do not understand
181,185,ई पिक्चर का शूटिंग चल रहा है। पिक्चर का शूटिंग,non-humor,E-Picture is going on.Picture shoot
182,186,और सीन के बीम में प्रेमा जी नकली माँ बनी हैं।,non-humor,"And in the beam of the scene, Prema ji has become a fake mother."
183,187,ये रीयल लाइफ में माँ बनने वाली हैं।,non-humor,These are going to be a mother in real life.
184,188,डायरेक्टर ये आदमी का बोल रहा है रे,non-humor,Director This man is speaking
185,189,हां सर ये सही कह रहे हैं।,non-humor,"Yes, they are right."
186,190,ये तीन महीने की प्रेगनेन्ट है।,non-humor,This is a three-month pregnant.
187,191,लेकिन मैं क्या कहता हूं।,non-humor,But what do I say?
188,192,चार रील तो छप चुके।,non-humor,Four reels have been printed.
189,193,सिर्फ छः बचे। वो भी छाप दुंगा।,non-humor,Just survive.That too imprint.
190,194,पिक्चर खत्म।,non-humor,Picture finish
191,195,अरे डेमफुल बुरबक डायरेक्टर,humor,Hey Demfil Burbert Director
192,196,हम तुमको ब्रेक दिया तुम हमारा पत्ता बैठाएगा,humor,We brought you to you will sit our leaf
193,197,अर हमारा तेरवी मन जाएगा हमारा तेरवीं हो जाएगा रे,non-humor,Our Tervi will be ours will be ours
194,198,अरे हम लुट गए भइया जी,humor,Hey we have looted Bhaiya
195,199,हम बर्बाद हो जाऊंगा,humor,We will be ruined
196,201,मेरी प्यारी छोटी बच्ची ।।,humor,My dear little baby
197,202,बहुत जल्दी तुम्हारे लिए कम्पनी आने वाली ,non-humor,Very early company for you
198,203,डॉल माई गॉड ये तुम क्या कर रही हो,non-humor,Dell My God What Are You doing
199,204,क्या कर रही हूँ मैं कुछ भी तो नहीं कर रही हूं।,non-humor,What am I doing is not doing anything.
200,205,ये क्या तरीका है। माँ बनने का।,non-humor,This is what is the way.To become a mother
201,206,यू नो,humor,You Know
202,207,यू शूड टेक इट इजी ना।,non-humor,You do not have it
203,208,मुझे ना कुछ मीठा खाना है।,humor,I have some sweet food.
204,209,तुम पागल हो गई हो डॉल।,humor,You've got mad doll.
205,210,क्यों,non-humor,Why
206,211,नॉट मीठा। यू मीनखट्टा,non-humor,Note sweetU Payan Sour
207,212,खट्टा,non-humor,Tart taste
208,213,या कोकी जी कहती है,non-humor,Or Koki ji says
209,214,ऐसे में ना खट्टा खाने को दिल करता है।,non-humor,"In such a way, it does not have to eat sour."
210,215,तुम कोकी जी से आजकल बड़ी गाइडेंस लेते हो,humor,You take a big guidance from Koki ji nowadays
211,216,ऐसा नहीं है बाबा डॉल। लेट्स नॉट फाइट।,non-humor,It's not Baba DollLet's not fight.
212,217,मैं तुम्हारे लिए एक सरप्राइज लेकर आया हूं।,non-humor,I have brought a surprise for you.
213,218,टैन टैड़ैन,non-humor,Tan Tadan
214,219,स्पेशलि फॉर यू। ईमली,humor,Special for youEmley
215,220,इतनी सारी,non-humor,So much
216,221,आने वाले बच्चों का स्टॉक भी एक साथ जमा कर दिया है क्या,humor,The stock of the coming children has also deposited together
217,222,लो ना।,humor,Do not
218,223,मुझे सिर्फ दो चाहिए।,non-humor,I just need two
219,224,लो ना।,humor,Do not
220,225,और हां  अगर मीठा खाने का मन है तो ,non-humor,And yes if there is a feeling of eating sweet
221,226,आं,non-humor,Come on
222,227,प्याज नहीं दूंगा।,humor,I will not give onion.
223,228,तुम्हारे लिए डिलरुबा स्पेशल।,non-humor,Deleruba Special for You
224,229,टैन टैड़ैन,non-humor,Tan Tadan
225,230,देशी घी से बनाया हुआ लड्डू।,non-humor,Laddu made from native ghee
226,231,वॉव ये भी मुझे दो चाहिए।,humor,Wave it should also give me two
227,232,ये भी दो दो,non-humor,Two two
228,233,तुम्हें हर चीज दो दो चाहिए डॉल,non-humor,You must do everything two dolls
229,234,कहीं राम और श्याम तो नहीं आ रहे,humor,Somewhere Ram and Shyam are not coming
230,236,डॉल,non-humor,Doll
231,237,वॉट आर यू डूइंग डॉल,non-humor,Wat Ru Duing Doll
232,238,तुम्हें छोटे छोटे कदम रखना होगा।,non-humor,You have to keep small steps.
233,239,क्यों,non-humor,Why
234,240,तुम्हें हर कदम एकदम फूक फूक कर रखना होगा।,humor,You have to keep every step absolutely fucked.
235,241,तुम बार बार क्यो भूल जाती हो कि तुम माँ बनने वाली हो,non-humor,Why do you forget that you are going to be a mother
236,242,ओ थोड़ा धीरे बोलोगे। पूरी दुनिया को सुनाना है क्या ,non-humor,O will speak slightly.What is to tell the whole world
237,243,तो सुनने दो दुनिया वालों को,non-humor,So listen to the world
238,244,कि तुम मेरे बच्चे की माँ बनने वाली हो।,humor,That you are going to be the mother of my child.
239,245,वो ऐसे भी पता चल जाएगा।,non-humor,They will also know.
240,246,चिल्लाने की ज़रूरत नहीं है।,non-humor,There is no need to shout.
241,247,ओके ओके डॉल। हम झगड़ा नहीं करते।,non-humor,OK OK DollWe do not quarrel.
242,248,तुम्हें मालूम है अगर हम झगड़ा करते रहेंगे,non-humor,You know if we will continue to fight
243,249,हमारा बच्चा भी एकदम झगड़ालू पैदा होगा।,humor,Our child will also born quarrels.
244,250,शशश। केशू जी।,non-humor,ShashashKeshu ji
245,251,हर बार  मैं जिस बात को अवॉइड करने की कोशिश करता हूं,non-humor,Every time I try to avoid
246,252,वही सामने आ जाता।,humor,The same comes out.
247,253,शशश।,non-humor,Shashash
248,254,गुड मॉर्निंग केशू जी,non-humor,Good Morning Keshu
249,255,वॉट अ कोइन्सीडेन्स,humor,Wat a coensedense
250,256,गुड मॉर्निंग प्रेमा जी,non-humor,Good morning love
251,257,सॉरी मैं अब आपके साथ जॉगिंग पर नहीं जा सकती।,non-humor,Sorry I can not go on jogging with you now.
252,258,क्यों,non-humor,Why
253,259,क्योकि वह ,non-humor,Because he
254,260,प्रेमा जी आपका बच्चा रीवर्स में पैदा होने वाला है,humor,Prema ji is going to be born in your child reverse
255,261,वॉट डू यू मीन रीवर्स,non-humor,Wat Do You Mean Reverse
256,262,हाउ डेयर यू मेरे बच्चे के बारे में कुछ भी बकवास करते हो,humor,How do you fuck anything about my child
257,263,सॉरी,non-humor,Sorry
258,264,मैं अपने बच्चे को लेकर बहुत इमोशनल हूं,non-humor,I am very emotional about my child
259,265,आई एम वेरी पज़ेसिव,non-humor,I'm Very Pizasive
260,266,सॉरी सॉरी,non-humor,Sorry sorry
261,267,चलो डॉल यहां से चलते हैं।,non-humor,Let's go from the doll here.
262,268,हाँ।,non-humor,Yes.
263,269,तुम भी जाओ।,non-humor,You also go.
264,270,क्यों,non-humor,Why
265,271,क्योंकि हमें तुमहारे बारे में गॉशिप करनी है। गो,humor,Because we have to gossip about you.Go
266,272,बाय।,non-humor,Bye.
267,273,बाय।,non-humor,Bye.
268,274,प्रेमा जी ।।,non-humor,Prema ji ..
269,275,कल तक आपका पेट इतना था,non-humor,Till yesterday your stomach was so
270,276,आज ,non-humor,Today
271,277,हे  वॉट यू गो गो गो,humor,O wat u go go go
272,278,गो  गो गो। शू,humor,Go Go GoShu
273,279,डॉल कल से ना,non-humor,Doll tomorrow
274,280,मॉर्निंग वॉक हम शाम को लेंगे।,humor,Morning Walk will take us in the evening.
275,281,क्या,non-humor,What
276,282,मेरा मतलब है वॉक कहीं और जा के करेंगे।,non-humor,I mean walking somewhere else.
277,283,क्यों,non-humor,Why
278,284,वो कोकी जी कह रहीं थी कि ना प्रेगनेन्सी के दौरान,non-humor,He was saying that during the pregnancy
279,285,जिस जिस की सकल हमलोग बार बार देखते हैं ना,non-humor,Whose of the gross we see repeatedly
280,286,बच्चा का सकल बिलकुल उसी तरह होती है।,non-humor,The child's gross is absolutely the same.
281,287,और मैं नहीं चाहता कि हमारा बच्चा केशू जी जैसा दिखे।,humor,And I do not want our child like Keshu ji.
282,288,या।,non-humor,or.
283,289,बदसूरत। नॉनसेंस। इरिटेटिंग परसन।,humor,Unattractive.Nonsense.Iritating Purson
284,290,चलें,non-humor,Go
285,291,या।,non-humor,or.
286,292,अच्छा हो गया चला गया।,non-humor,Went well
287,293,डॉल डॉल,non-humor,Doll doll
288,294,इतने हैंडसम आदमी को बदसूरत बोलते हो,humor,Such handsome people speak ugly
289,296,पेट गायब,humor,Stomach
290,297,बच्चा भी गायब,humor,Baby also disappeared
291,298,ये कसरत करते वक्त निकाल के रखती है क्या,humor,Why do they keep it out while exercising
292,299,देखना पड़ेगा ।।,humor,Will see ..
293,300,इनवेस्टीगेट करना पड़ेगा,humor,Will have to investigate
294,301,टोटो मैं तंग आ गई हूं ये माँ बनने का नाटक करते करते।,non-humor,Toto I'm fed to pretend to be a mother.
295,302,और सबसे बुरा तो मुझे बीचारे दिल के लिए लग रहा है।,non-humor,And worst then I feel for the heart.
296,303,पता है वो कितना इंतजार कर रहा है मेरे माँ बनने का।,non-humor,Know how much he is waiting to become my mother.
297,304,वो तो दिखी रहा है।,humor,He is seen.
298,305,और जब उसे हकीकत का पता चलेगा तब,non-humor,And when he will know the reality then
299,306,अरे तब की तब देखेंगे।,non-humor,Hey then you will see.
300,307,वो प्रड्यूशर राम जी भाई आने वाला हैं।,non-humor,Those Prudishar Ram Ji brothers are going to come.
301,308,आप जल्दी से माँ बन जाइए,humor,You quickly become a mother
302,309,जल्दी,non-humor,Soon
303,310,ऐ,humor,Ai
304,311,हट हट,humor,Hut hat
305,312,तुम तुम,humor,you you
306,313,और वो वो,non-humor,And that
307,314,वो वो नहीं बस ,humor,He is not just
308,315,अरे काई फूस फूस फूस,humor,Hey moss pallet pallet
309,316,मुझे प्रेमा जी से मिलना है,non-humor,I want to meet Prema ji
310,317,क्यों,non-humor,Why
311,318,उनका पेट गायब हो गया है,humor,His stomach has disappeared
312,319,ऐं,non-humor,A
313,320,हाँ कभी इतना कभी इतना और अब तो कुछ भी नहीं।,humor,"Yes, sometimes so much and now nothing."
314,321,मुझे लगता है तुम्हारे चश्में का नम्बर बदल गया।।,non-humor,I think the number of your goggles changed ..
315,322,अरे काई का नम्बर,humor,Hey Kai Number
316,323,मैंने देखा है अपनी आखों से देखा उनका पेट गायब हो गया है,non-humor,I have seen my stomach disappeared from my eyes
317,324,अरे वो तुम्हार वहम होगा स्टूपिड,non-humor,Hey he will be a stupid
318,325,अरे काई का वहम काईका स्टूपिड,humor,Hey Kai's Problem Stupid
319,326,प्रेमा जी,non-humor,Prema ji
320,327,हाय केशू जी,humor,Hi keshu ji
321,328,देखा देखा,non-humor,Saw seen
322,329,ये पेट नहीं तो क्या गुब्बारा है स्टूपिड,humor,If this stomach is not a balloon Stupid
323,330,क्या हुआ केशू जी,non-humor,What happened to Keshu
324,331,प्रेमा जी ये आपका पेट कभी होता है,non-humor,Prema ji is your stomach
325,332,कभी इतना होता है कभी इतना होता है कभी नहीं होता है।,humor,Ever so much happens so much happens so much happens.
326,333,हे भगवान् ये क्या खेल खेल रहा है मेरे इमोशन्स के साथ,humor,"O God, what's playing this game with my emotions"
327,335,प्रणाम प्रेमा शालिनी,humor,Praja Prema Shalini
328,336,अरे सर  सर जी,non-humor,Hey sir sir ji
329,337,सर जी आइए  आइए  दिस वे सर दिस वे,humor,"Sir, let me know this"
330,338,हट हट,humor,Hut hat
331,339,सर बैठिए सर बैठिए।,humor,Sit Sir Sir
332,340,बैठा रहा हूं।,non-humor,I am sitting.
333,341,सर पानी वानी कुछ लाऊ,humor,Sir water wani
334,342,अरे ठीक है।,non-humor,Hey well.
335,343,रामजी भाई आप इस वक्त यहां,humor,"Ramji Bhai, here you are here"
336,344,उ का है शालिनी जी कि आज हम आपसे बहुत जरुरी बात करने आया हूं।,non-humor,He has come to Shalini that today we have come to talk to you very much.
337,345,हां हां कहिए।,humor,Yes yes.
338,346,आ शालिनी जी हम देख रहा हूं कि आप बहुत दिनों से आपकी तबियत ठीक नहीं है।,non-humor,I see Shalini ji that you have not been good for many days.
339,347,मतलब आप ठीक से काम नहीं कर पा रहीं हैं।,non-humor,Meaning you are not able to work properly.
340,348,एम आई राइट,non-humor,Mi Wright
341,349,सो तो है।,non-humor,So it is so.
342,350,हा तो बस। यही तो बात है।,non-humor,Yes justthat's the point.
343,351,हम ये सोच रहा हूं कि हम आपकी जगह पर दूसरा हीरोइन लेकर अपना पिक्चर कम्प्लीट कर उसको रीलिज कर देता हूं।,humor,We are thinking that we make a second heroine with the second heroine and release it.
344,352,वेरी सिंपल,non-humor,Verry Simple
345,353,देखो ना टोटो,non-humor,Watch no toto
346,354,इतनी अच्छी फिल्म और इतना अच्छा रोल मेरे हाथ से जा रहा है।,humor,So good film and so good roll is going by my hand.
347,355,इसलिए तो मैं कह रहा था माँ मत बनिए माँ मत बनिए माँ मत बनिए।,humor,"So I was saying that do not become a mother, do not be a mother."
348,356,रामजी भाई ऐसा मत कीजिए ना।,non-humor,Ramji Bhai Do not do that
349,357,आप ना बस एक दो तीन चार पांच छह छह महीने और रुक जाइए बस।,humor,You do not just stop a two three four five six six months and just.
350,358,ऑनली सिक्स मंथ।,humor,Only Six Month
351,359,छह महीना,non-humor,Six months
352,360,अरे छह महीना का बात करती हैं आप,non-humor,Hey talk about six months
353,361,अरे छह महीना में तो हम अपना पिक्चर बनाकर उसको रिलीज भी कर दुंगा।,non-humor,"In the six months, we make our picture and release it."
354,362,प्रेमा शालिनी जी आप चिंता मत कीजिए। टेंशन मत लिजिए,non-humor,Prema Shalini ji Do not worry.Do not tension
355,363,हम आपको अगला पिक्चर में लॉन्च कर दुंगा।,non-humor,We launch you in the next picture.
356,364,और पिक्चर का नाम रखुंगा  माँ और बेटवा,humor,And will keep the name of the picture and son
357,365,तब तक हम चलता हूं। अपना ख्याल रखिए।,non-humor,By then we walk.Take care of yourself.
358,366,गुड बाय। बाय ,non-humor,Goodbye.Bye
359,367,सर जरा एक बार सोचिए एक बार सोचिए,humor,Just think once again think once
360,368,ऐ हम हट चलता हूं,humor,I go away
361,369,बाय बाय,non-humor,bye Bye
362,370,हाँ,non-humor,Yes
363,371,यिप्पी,non-humor,Yippi
364,372,हम जीत गए,humor,we won
365,373,हम जीत गए,non-humor,we won
366,374,हम जीत गए,non-humor,we won
367,375,हम जीत गए,non-humor,we won
368,376,हम जीत गए ,non-humor,we won
369,377,डॉल वॉट आर यू डूइंग डॉल,non-humor,Doll Wat Ru Duing Doll
370,378,तुम क्या कर रही हो तुम माँ बनने वाली हो डॉल।,non-humor,What are you doing you are going to be a mother doll.
371,379,दिल अब न तो मैं माँ बनुगी और ना मम्मी,humor,Dil now I will not be a mother and no mummy
372,380,मुबारक हो सर। आपको  नन्हां सा एक हेलमेट हुआ है।,humor,Happy sirYou have a helmet.
373,381,यू शट अप,non-humor,U shut up
374,382,हेलमेट,humor,Helmet
375,383,डॉल यू नो ।।,humor,Doll you no ..
376,384,मैंने सोचा था अगर हमें लड़का हुआ तो मैं उसका पेट नेम हेलमेट रखुगा।,humor,"I thought that if we were a boy, I will keep his belly name helmet."
