,index,Utterance,Label
147,151,ये बाल्टी रखी है बाथरूम में जा के रख के आओ।,non-humor
148,152,और उनके नहाने का समय हो गया है।,non-humor
149,153,"माँ जी, मैं ऐसी हालत में ।।",humor
150,154,क्यों? क्या है ऐसी हालत में हां?,non-humor
151,155,एक बाल्टी उठा लेगी तो मर नहीं जाएगी।,non-humor
152,156,प्रेमा जी से पानी से भरी बाल्टी उठवा रहे हैं,non-humor
153,157,इस हालात में!,non-humor
154,158,खड़ूस कहीं के!,humor
155,159,"प्रेमा जी .. प्रेमा जी, मैं आ रहा हूं। प्रेमा जी",humor
156,160,प्रेमा जी! प्रेमा जी ।।,humor
157,161,"प्रेमा जी .. मैं आ गया, प्रेमा जी।",humor
158,162,ऐ! कट इट! कट इट!,non-humor
159,163,अरे यार! तुम फिर बीच में आ गए।,non-humor
160,164,पूरी शूटिंग का गुड़गोबर कर दिया तुमने!,non-humor
161,165,तुम डायरेक्टर हो या शैतान?,humor
162,166,एक प्रेगनेन्ट लेडी से पानी से भरी हुई बाल्टी उठवा रहे हो!,non-humor
163,167,अरे स्टूपिड! ये शूटिंग है।  नकली है सब।,non-humor
164,168,अरे स्टूपिड! बाल्टी और  पानी तो असली है ना!,humor
165,169,"ऐ, ऐ!",non-humor
166,170,अरे कौन है रे तू? कौन है तू?,non-humor
167,171,और ई सब का चल रहा है आं?,non-humor
168,172,"पहले, आप ये बताएं आप कौन बा।",humor
169,173,क्या!,humor
170,174,तुम हमसे पूछ रहा है हमरा सेट पे,non-humor
171,175,कि हम कौन हूं!,humor
172,176,अरे हम इस पिक्चर का निर्माता हूँ!,non-humor
173,177,जन्मदाता हूँ। प्रोड्यशर! प्रोड्यशर!,non-humor
174,178,"सॉरी। सॉरी, निर्माता जी।",humor
175,179,अच्छा ठीक है ठीक है। भइया जी,non-humor
176,180,"अच्छा, आप ई बताइए कि आप शॉट के बीच में काहें घुस गए थे।",non-humor
177,181,"निर्माता जी, ये ..ये प्रेमा जी माँ बनने वाली हैं।",humor
178,182,इतनी भारी भरकम पानी से भरी बाल्टी उठा रहीं हैं!,non-humor
179,183,"हमने सोचा, मदद कर लें।",non-humor
180,184,अरे महराज आप समझते काहे नहीं?,non-humor
181,185,ई पिक्चर का शूटिंग चल रहा है। पिक्चर का शूटिंग!,non-humor
182,186,और सीन के बीम में प्रेमा जी नकली माँ बनी हैं।,non-humor
183,187,ये रीयल लाइफ में माँ बनने वाली हैं।,non-humor
184,188,"डायरेक्टर, ये आदमी का बोल रहा है रे?",non-humor
185,189,"हां, सर, ये सही कह रहे हैं।",non-humor
186,190,ये तीन महीने की प्रेगनेन्ट है।,non-humor
187,191,लेकिन मैं क्या कहता हूं।,non-humor
188,192,चार रील तो छप चुके।,non-humor
189,193,सिर्फ छः बचे। वो भी छाप दुंगा।,non-humor
190,194,पिक्चर खत्म।,non-humor
191,195,अरे डेमफुल बुरबक डायरेक्टर!,humor
192,196,हम तुमको ब्रेक दिया तुम हमारा पत्ता बैठाएगा!,humor
193,197,अर हमारा तेरवी मन जाएगा! हमारा तेरवीं हो जाएगा रे!,non-humor
194,198,अरे हम लुट गए भइया जी!,humor
195,199,हम बर्बाद हो जाऊंगा!,humor
196,201,मेरी प्यारी छोटी बच्ची ।।,humor
197,202,"बहुत जल्दी, तुम्हारे लिए कम्पनी आने वाली ..",non-humor
198,203,डॉल! माई गॉड! ये तुम क्या कर रही हो?,non-humor
199,204,क्या कर रही हूँ मैं? कुछ भी तो नहीं कर रही हूं।,non-humor
200,205,ये क्या तरीका है। माँ बनने का।,non-humor
201,206,यू नो..,humor
202,207,यू शूड टेक इट इजी ना।,non-humor
203,208,मुझे ना कुछ मीठा खाना है।,humor
204,209,"तुम पागल हो गई हो, डॉल।",humor
205,210,क्यों?,non-humor
206,211,"नॉट मीठा। यू मीन,खट्टा?",non-humor
207,212,खट्टा?,non-humor
208,213,"या, कोकी जी कहती है",non-humor
209,214,ऐसे में ना खट्टा खाने को दिल करता है।,non-humor
210,215,तुम कोकी जी से आजकल बड़ी गाइडेंस लेते हो!,humor
211,216,"ऐसा नहीं है बाबा, डॉल। लेट्स नॉट फाइट।",non-humor
212,217,मैं तुम्हारे लिए एक सरप्राइज लेकर आया हूं।,non-humor
213,218,टैन टैड़ैन!,non-humor
214,219,स्पेशलि फॉर यू। ईमली!,humor
215,220,इतनी सारी!,non-humor
216,221,आने वाले बच्चों का स्टॉक भी एक साथ जमा कर दिया है क्या?,humor
217,222,लो ना।,humor
218,223,मुझे सिर्फ दो चाहिए।,non-humor
219,224,लो ना।,humor
220,225,और हां .. अगर मीठा खाने का मन है तो ..,non-humor
221,226,आं!,non-humor
222,227,प्याज नहीं दूंगा।,humor
223,228,तुम्हारे लिए डिलरुबा स्पेशल।,non-humor
224,229,टैन टैड़ैन!,non-humor
225,230,देशी घी से बनाया हुआ लड्डू।,non-humor
226,231,वॉव! ये भी मुझे दो चाहिए।,humor
227,232,ये भी दो दो?,non-humor
228,233,"तुम्हें, हर चीज दो दो चाहिए, डॉल?",non-humor
229,234,कहीं राम और श्याम तो नहीं आ रहे?,humor
230,236,डॉल..,non-humor
231,237,"वॉट आर यू डूइंग, डॉल?",non-humor
232,238,तुम्हें छोटे छोटे कदम रखना होगा।,non-humor
233,239,क्यों?,non-humor
234,240,तुम्हें हर कदम एकदम फूक फूक कर रखना होगा।,humor
235,241,तुम बार बार क्यो भूल जाती हो कि तुम माँ बनने वाली हो?,non-humor
236,242,"ओ, थोड़ा धीरे बोलोगे। पूरी दुनिया को सुनाना है क्या ?",non-humor
237,243,"तो सुनने दो, दुनिया वालों को!",non-humor
238,244,कि तुम मेरे बच्चे की माँ बनने वाली हो।,humor
239,245,वो ऐसे भी पता चल जाएगा।,non-humor
240,246,चिल्लाने की ज़रूरत नहीं है।,non-humor
241,247,"ओके ओके, डॉल। हम झगड़ा नहीं करते।",non-humor
242,248,तुम्हें मालूम है? अगर हम झगड़ा करते रहेंगे,non-humor
243,249,हमारा बच्चा भी एकदम झगड़ालू पैदा होगा।,humor
244,250,शशश। केशू जी।,non-humor
245,251,हर बार .. मैं जिस बात को अवॉइड करने की कोशिश करता हूं,non-humor
246,252,वही सामने आ जाता।,humor
247,253,शशश।,non-humor
248,254,"गुड मॉर्निंग, केशू जी!",non-humor
249,255,वॉट अ कोइन्सीडेन्स!,humor
250,256,"गुड मॉर्निंग, प्रेमा जी!",non-humor
251,257,"सॉरी, मैं अब आपके साथ जॉगिंग पर नहीं जा सकती।",non-humor
252,258,क्यों?,non-humor
253,259,क्योकि वह ..,non-humor
254,260,"प्रेमा जी, आपका बच्चा रीवर्स में पैदा होने वाला है?",humor
255,261,वॉट डू यू मीन रीवर्स?,non-humor
256,262,हाउ डेयर यू मेरे बच्चे के बारे में कुछ भी बकवास करते हो!,humor
257,263,सॉरी!,non-humor
258,264,मैं अपने बच्चे को लेकर बहुत इमोशनल हूं!,non-humor
259,265,आई एम वेरी पज़ेसिव!,non-humor
260,266,सॉरी सॉरी!,non-humor
261,267,"चलो, डॉल यहां से चलते हैं।",non-humor
262,268,हाँ।,non-humor
263,269,तुम भी जाओ।,non-humor
264,270,क्यों?,non-humor
265,271,क्योंकि हमें तुमहारे बारे में गॉशिप करनी है। गो!,humor
266,272,बाय।,non-humor
267,273,बाय।,non-humor
268,274,प्रेमा जी ।।,non-humor
269,275,कल तक आपका पेट इतना था,non-humor
270,276,आज ..,non-humor
271,277,हे .. वॉट यू गो गो गो?,humor
272,278,गो .. गो! गो। शू!,humor
273,279,"डॉल, कल से ना",non-humor
274,280,मॉर्निंग वॉक हम शाम को लेंगे।,humor
275,281,क्या!,non-humor
276,282,"मेरा मतलब है, वॉक कहीं और जा के करेंगे।",non-humor
277,283,क्यों?,non-humor
278,284,"वो, कोकी जी कह रहीं थी कि ना प्रेगनेन्सी के दौरान",non-humor
279,285,जिस जिस की सकल हमलोग बार बार देखते हैं ना,non-humor
280,286,बच्चा का सकल बिलकुल उसी तरह होती है।,non-humor
281,287,और मैं नहीं चाहता कि हमारा बच्चा केशू जी जैसा दिखे।,humor
282,288,या।,non-humor
283,289,बदसूरत। नॉनसेंस। इरिटेटिंग परसन।,humor
284,290,चलें?,non-humor
285,291,या।,non-humor
286,292,अच्छा हो गया चला गया।,non-humor
287,293,डॉल! डॉल..,non-humor
288,294,इतने हैंडसम आदमी को बदसूरत बोलते हो!,humor
289,296,पेट गायब!,humor
290,297,बच्चा भी गायब!,humor
291,298,ये कसरत करते वक्त निकाल के रखती है क्या?,humor
292,299,देखना पड़ेगा ।।,humor
293,300,इनवेस्टीगेट करना पड़ेगा!,humor
294,301,"टोटो, मैं तंग आ गई हूं ये माँ बनने का नाटक करते करते।",non-humor
295,302,और सबसे बुरा तो मुझे बीचारे दिल के लिए लग रहा है।,non-humor
296,303,पता है? वो कितना इंतजार कर रहा है मेरे माँ बनने का।,non-humor
297,304,वो तो दिखी रहा है।,humor
298,305,और जब उसे हकीकत का पता चलेगा तब?,non-humor
299,306,अरे तब की तब देखेंगे।,non-humor
300,307,वो प्रड्यूशर राम जी भाई आने वाला हैं।,non-humor
301,308,"आप जल्दी से, माँ बन जाइए",humor
302,309,जल्दी!,non-humor
303,310,ऐ!,humor
304,311,हट! हट!,humor
305,312,तुम! तुम..,humor
306,313,और वो ..वो,non-humor
307,314,वो वो नहीं! बस ..,humor
308,315,अरे काई फूस फूस फूस!,humor
309,316,मुझे प्रेमा जी से मिलना है!,non-humor
310,317,क्यों?,non-humor
311,318,उनका पेट गायब हो गया है!,humor
312,319,ऐं!,non-humor
313,320,"हाँ.. कभी इतना कभी इतना और अब तो, कुछ भी नहीं।",humor
314,321,मुझे लगता है तुम्हारे चश्में का नम्बर बदल गया।।,non-humor
315,322,अरे काई का नम्बर!,humor
316,323,मैंने देखा है अपनी आखों से देखा! उनका पेट गायब हो गया है!,non-humor
317,324,"अरे वो तुम्हार वहम होगा, स्टूपिड!",non-humor
318,325,"अरे, काई का वहम, काईका स्टूपिड!",humor
319,326,प्रेमा जी!,non-humor
320,327,"हाय, केशू जी!",humor
321,328,देखा? देखा?,non-humor
322,329,ये पेट नहीं तो क्या गुब्बारा है स्टूपिड?,humor
323,330,"क्या हुआ, केशू जी?",non-humor
324,331,"प्रेमा जी, ये आपका पेट कभी होता है",non-humor
325,332,"कभी इतना होता है, कभी इतना होता है, कभी, नहीं होता है।",humor
326,333,हे भगवान्! ये क्या खेल खेल रहा है मेरे इमोशन्स के साथ?,humor
327,335,"प्रणाम, प्रेमा शालिनी!",humor
328,336,अरे सर .. सर जी!,non-humor
329,337,"सर जी आइए .. आइए .. दिस वे, सर दिस वे..",humor
330,338,हट हट!,humor
331,339,"सर बैठिए, सर बैठिए।",humor
332,340,बैठा रहा हूं।,non-humor
333,341,"सर, पानी वानी कुछ लाऊ?",humor
334,342,अरे ठीक है।,non-humor
335,343,"रामजी भाई, आप इस वक्त यहां?",humor
336,344,"उ का है शालिनी जी, कि आज हम आपसे बहुत जरुरी बात करने आया हूं।",non-humor
337,345,"हां हां, कहिए।",humor
338,346,"आ शालिनी जी, हम देख रहा हूं कि आप बहुत दिनों से आपकी तबियत ठीक नहीं है।",non-humor
339,347,"मतलब, आप ठीक से काम नहीं कर पा रहीं हैं।",non-humor
340,348,एम आई राइट?,non-humor
341,349,"सो तो, है।",non-humor
342,350,हा तो बस। यही तो बात है।,non-humor
343,351,हम ये सोच रहा हूं कि हम आपकी जगह पर दूसरा हीरोइन लेकर अपना पिक्चर कम्प्लीट कर उसको रीलिज कर देता हूं।,humor
344,352,वेरी सिंपल!,non-humor
345,353,"देखो ना, टोटो?",non-humor
346,354,इतनी अच्छी फिल्म और इतना अच्छा रोल मेरे हाथ से जा रहा है।,humor
347,355,इसलिए तो मैं कह रहा था माँ मत बनिए माँ मत बनिए माँ मत बनिए।,humor
348,356,"रामजी भाई, ऐसा मत कीजिए ना।",non-humor
349,357,"आप ना बस... एक दो तीन चार पांच छह, छह महीने और रुक जाइए बस।",humor
350,358,ऑनली सिक्स मंथ।,humor
351,359,छह महीना!,non-humor
352,360,अरे छह महीना! का बात करती हैं आप?,non-humor
353,361,अरे छह महीना में तो हम अपना पिक्चर बनाकर उसको रिलीज भी कर दुंगा।,non-humor
354,362,"प्रेमा शालिनी जी, आप चिंता मत कीजिए। टेंशन मत लिजिए",non-humor
355,363,हम आपको अगला पिक्चर में लॉन्च कर दुंगा।,non-humor
356,364,और पिक्चर का नाम रखुंगा .. 'माँ और बेटवा!',humor
357,365,तब तक हम चलता हूं। अपना ख्याल रखिए।,non-humor
358,366,गुड बाय। बाय ..,non-humor
359,367,"सर, जरा एक बार सोचिए एक बार सोचिए..",humor
360,368,ऐ हम हट! चलता हूं!,humor
361,369,बाय! बाय..,non-humor
362,370,हाँ!,non-humor
363,371,यिप्पी!,non-humor
364,372,हम जीत गए!,humor
365,373,हम जीत गए!,non-humor
366,374,हम जीत गए!,non-humor
367,375,हम जीत गए!,non-humor
368,376,हम जीत गए ..,non-humor
369,377,"डॉल, वॉट आर यू डूइंग डॉल?",non-humor
370,378,"तुम क्या कर रही हो? तुम माँ बनने वाली हो, डॉल।",non-humor
371,379,"दिल, अब, न तो मैं माँ बनुगी और ना मम्मी!",humor
372,380,"मुबारक हो, सर। आपको  नन्हां सा एक हेलमेट हुआ है।",humor
373,381,यू शट अप!,non-humor
374,382,हेलमेट..,humor
375,383,"डॉल, यू नो ।।",humor
376,384,मैंने सोचा था अगर हमें लड़का हुआ तो मैं उसका पेट नेम हेलमेट रखुगा।,humor
377,385,"तुमने ऐसा क्यों किया, डॉल? क्यों किया?",non-humor
378,386,"अब, वो रामजी भाई हैं ना प्रोड्यूशर उन्हें बेवकूफ बनाने के लिए।",non-humor
379,387,"लेकिन तुमने मुझे भी तो बेवकूफ बनाया, डॉल।",non-humor
380,388,"सॉरी, दिल ।।",non-humor
381,389,सॉरी।,non-humor
382,390,"दिल, सॉरी ।।",non-humor
383,391,सॉरी!,humor
384,392,सॉरी ना..,non-humor
385,393,"ठीक है, डॉल।",non-humor
386,394,"ये हेलमेट का आइडिया तुम्हें किसने दिया था, डॉल?",non-humor
387,395,टोटो ने।,non-humor
388,396,"कैसा लगा, आपको?",humor
389,397,"एक मिनट, डॉल।",non-humor
390,398,हाउ वाज़ दैट? कैसा था आइडिया आइडिया?,non-humor
391,399,हेलमेट का आइडिया आपका था?,non-humor
392,400,या या..,humor
393,401,"टोटो, इस हेलमेट से मैं तुम्हें इतना मारुंगा कि तुम ऑमलेट बन जाओगे!",humor
394,402,प्रेमा जी .. प्रेमा जी!,humor
395,403,कॉग्रेचुलेसन्स! कॉग्रेचुलेसन्स!,humor
396,404,किस चीज के लिए कॉग्रेचुलेसन्स?,non-humor
397,405,आपने माँ बनने का प्रोगराम कैन्सल कर दिया।,non-humor
398,406,उसके लिए बधाई हो। बहुत बधाई हो!,humor
399,407,ओह..,non-humor
400,408,लेकिन इस बात से आपको इतनी खुशी क्यों हैं?,non-humor
401,409,क्यों नहीं?,non-humor
402,410,अगर आप मां बनने का प्रोगराम कैन्सल करेंगी तभी तो मेरे सारे प्रोगराम्स फिर से शुरु हो गाएंगे।,humor
403,412,ये केशू का बच्चा ..,non-humor
404,413,दिल ।।,non-humor
405,414,"ये केशू का बच्चा, पटाखे फोड़ रहा है",non-humor
406,415,मेरे बाप ना बनने की खुशी में!,non-humor
407,416,दिल ।।,non-humor
408,417,"दिल .. दिल, आई एम सॉरी। मेरी बात तो सुनो।",non-humor
409,418,केशू! ये क्या कर रहे हो तुम?,non-humor
410,419,वहां प्रेमा शालिनी जी माँ बनने वाली हैं!,non-humor
411,420,इतनी आवाज क्यों कर रहे हो यहां पे?,non-humor
412,421,अरे काई की माँ? काय का आवाज?,humor
413,422,वो प्रेमा जी ने नाटक किया था नाटक!,humor
414,423,क्या!,non-humor
415,424,हाँ हाँ!,non-humor
416,425,"केशू केशू, बंद करो ये! चलो चलो.. अंदर चलो!",non-humor
417,426,लास्ट लास्ट लास्ट..,non-humor
418,427,छोड़ो ।।,non-humor
419,428,"केशू, रखो इसको छोड़ो जाने दो!",non-humor
420,429,क्या है ये नाटक तुम लोगों का?,non-humor
421,430,उसे नीचे रखें! चलो अंदर चलें!,non-humor
422,431,केशू! चलो अंदर चलें!,humor
423,432,"दिल, बात ही कुछ ऐसी थी ।।",non-humor
424,433,इतने दिनों से मैं उसके लिए  स्वेटर बुन रहा था।,humor
425,434,"अब, कौन पहनेगा वो स्वेटर?",non-humor
426,435,हमें तो फिट नहीं आएगा ना!,humor
427,436,"आई एम सॉरी, दिल। मैं दुबारा ऐसी हरकत कभी नहीं करूंगी। आई एम सॉरी!",non-humor
428,437,मालुम है?,non-humor
429,438,मैं दुनिया के सामने चिल्ला चिल्ला कर कह रहा था।,non-humor
430,439,"ऐ, दुनियां वालों, दिलरुबा बाप बनने वाला है!",non-humor
431,440,और एक बात बताऊ..,non-humor
432,441,जब मैं रात को.. रात को सोता था ना तब मेरे कानो में बच्चे की आवाज आती थी।,non-humor
433,442,"पापा, डैडी, पिताजी, फादर",humor
434,443,"और मैं कहता था  .. 'सो जा मेरे लाडले, सो जा।'",non-humor
435,444,मैं तेरे साथ कल सुबह खेलूंगा।',non-humor
436,445,"अब मैं किसके साथ खेलूंगा सुबह, डॉल?",non-humor
437,446,किसके साथ खेलूंगा ।।,non-humor
438,447,"बस करो, दिल! बस करो!",non-humor
439,448,तुम्हारी बातें सुनकर मुझे कुछ कुछ हो रहा है।,non-humor
440,449,क्या बकवास कर रही हो!,non-humor
441,450,हाँ..,non-humor
442,451,रियली?,non-humor
443,452,मुझे सच में कुछ हो रहा है।,non-humor
444,453,"मैं नाटक नहीं कर रही हूँ ..गर्मी भी आ रही है, दिल।",non-humor
445,454,"ओह, मेरी .. अरे ..",non-humor
446,455,"अरे, दुनियां वालों!",humor
447,456,"मै, फिर से बाप बनने वाला हूं! दुनियां वालों!",humor
448,458,कौन,non-humor
449,459,कौन है ..,humor
450,460,शांति निवास पर अटैक हुआ!,humor
451,461,क्या..,non-humor
452,462,"केशव, पटाखे फूट रहे हैं।",non-humor
453,463,हाँ..,non-humor
454,464,कौन बेवकूफ इतनी रात गए  पटाखे फोड़ रहा है?,non-humor
455,465,पापा पापा .. दिलबुरा अंकल  पटाखे फोड़ रहे हैं।,non-humor
456,466,क्यों?,non-humor
457,467,क्योंकि वो सच में पापा बनने वाले हैं!,non-humor
458,468,क्या!,humor
459,469,अरे वाह!,humor
460,470,"मै, फिर से बाप बनने वाला हूं! दुनियां वालों!",non-humor
461,471,आं हा!,humor
462,0,कोकी! कोकी!,non-humor
463,1,कोकी जल्दी कर ना! ट्रेन का टाइम हो रहा है।,non-humor
464,2,"आई, पिंकी।",non-humor
465,3,रुको जरा। मैं केशू को आवाज लगाती हूं।,non-humor
466,4,केशू!,non-humor
467,5,अरे बस हो गया!,humor
468,6,कितना झांकोगे?,humor
469,7,एक दिन बालकनी से नीचे गिर जाओगे।,humor
470,8,ऐक्सक्यूज मी।,non-humor
471,9,अरे हमारे ट्रेन का समय हो गया। हम निकल रहे रहे है।,non-humor
472,10,"आया, कोकी।",non-humor
473,11,आई ग!,non-humor
474,12,"अरे तीर्थ यात्रा पर जाने की इतनी भी क्या जल्दी थी, कोकी?",non-humor
475,13,अरे बुढ़ापे में मैं तुम्हें खुद ले के जाता।,humor
476,14,आऊंगी ना अगले साल तुम्हारे साथ।,humor
477,15,क्यों? अगले साल तुम बूढ़ी होने वाली हो?,non-humor
478,16,तुम्हारी बात कर रही थी।,humor
479,17,पिंकी आंटी!,humor
480,18,ओए!,non-humor
481,19,"मतलब पिंकी जी! वैसे, आप लोग  कहां जा रहे हो?",non-humor
482,20,हम हिमालय की बरफीली चोटी पर जा रहे हैं।,non-humor
483,21,छलांग मारने?,humor
484,22,ऐ! केशू!,non-humor
485,23,शिव जी का मंदिर है वहां पर।,non-humor
486,24,ओउम् नमः शिवाय!,non-humor
487,25,कोकी!,non-humor
